service_id,date,exception_type
24,20120111,1
24,20120112,1
24,20120117,1
24,20120118,1
24,20120119,1
24,20120123,1
24,20120124,1
24,20120125,1
24,20120126,1
24,20120130,1
24,20120131,1
24,20120201,1
24,20120202,1
24,20120206,1
24,20120207,1
24,20120208,1
24,20120209,1
24,20120213,1
24,20120214,1
24,20120215,1
24,20120216,1
24,20120221,1
24,20120222,1
24,20120223,1
24,20120227,1
24,20120228,1
24,20120229,1
24,20120301,1
24,20120305,1
24,20120306,1
24,20120307,1
24,20120308,1
24,20120312,1
24,20120313,1
24,20120314,1
24,20120315,1
24,20120319,1
24,20120320,1
24,20120321,1
24,20120322,1
24,20120326,1
24,20120327,1
24,20120328,1
24,20120329,1
24,20120402,1
24,20120403,1
24,20120404,1
24,20120405,1
24,20120409,1
24,20120410,1
24,20120411,1
24,20120412,1
24,20120416,1
24,20120417,1
24,20120418,1
24,20120419,1
25,20111029,1
25,20111105,1
26,20111123,1
26,20111223,1
27,20111112,1
27,20111119,1
27,20111126,1
27,20111203,1
27,20111210,1
27,20111217,1
27,20111224,1
27,20111225,1
27,20120101,1
27,20120107,1
27,20120114,1
27,20120115,1
27,20120121,1
27,20120128,1
27,20120204,1
27,20120211,1
27,20120218,1
27,20120219,1
27,20120225,1
27,20120303,1
27,20120310,1
27,20120317,1
27,20120324,1
27,20120331,1
27,20120407,1
27,20120414,1
27,20120421,1
28,20111111,1
28,20111112,1
28,20111118,1
28,20111119,1
28,20111123,1
28,20111125,1
28,20111126,1
28,20111202,1
28,20111203,1
28,20111209,1
28,20111210,1
28,20111216,1
28,20111217,1
28,20111223,1
28,20111224,1
28,20111225,1
28,20111230,1
28,20120101,1
28,20120106,1
28,20120107,1
28,20120113,1
28,20120114,1
28,20120115,1
28,20120120,1
28,20120121,1
28,20120127,1
28,20120128,1
28,20120203,1
28,20120204,1
28,20120210,1
28,20120211,1
28,20120217,1
28,20120218,1
28,20120219,1
28,20120224,1
28,20120225,1
28,20120302,1
28,20120303,1
28,20120309,1
28,20120310,1
28,20120316,1
28,20120317,1
28,20120323,1
28,20120324,1
28,20120330,1
28,20120331,1
28,20120406,1
28,20120407,1
28,20120413,1
28,20120414,1
28,20120420,1
28,20120421,1
29,20111111,1
29,20111118,1
29,20111123,1
29,20111125,1
29,20111202,1
29,20111209,1
29,20111216,1
29,20111223,1
29,20111230,1
29,20120106,1
29,20120113,1
29,20120120,1
29,20120127,1
29,20120203,1
29,20120210,1
29,20120217,1
29,20120224,1
29,20120302,1
29,20120309,1
29,20120316,1
29,20120323,1
29,20120330,1
29,20120406,1
29,20120413,1
29,20120420,1
30,20111125,1
30,20111227,1
30,20111228,1
30,20111229,1
30,20111230,1
31,20111107,1
31,20111108,1
31,20111109,1
31,20111110,1
31,20111111,1
31,20111114,1
31,20111115,1
31,20111116,1
31,20111117,1
31,20111118,1
31,20111121,1
31,20111122,1
31,20111123,1
31,20111128,1
31,20111129,1
31,20111130,1
31,20111201,1
31,20111202,1
31,20111205,1
31,20111206,1
31,20111207,1
31,20111208,1
31,20111209,1
31,20111212,1
31,20111213,1
31,20111214,1
31,20111215,1
31,20111216,1
31,20111219,1
31,20111220,1
31,20111221,1
31,20111222,1
31,20111223,1
31,20120103,1
31,20120104,1
31,20120105,1
31,20120106,1
31,20120109,1
31,20120110,1
31,20120111,1
31,20120112,1
31,20120113,1
31,20120117,1
31,20120118,1
31,20120119,1
31,20120120,1
31,20120123,1
31,20120124,1
31,20120125,1
31,20120126,1
31,20120127,1
31,20120130,1
31,20120131,1
31,20120201,1
31,20120202,1
31,20120203,1
31,20120206,1
31,20120207,1
31,20120208,1
31,20120209,1
31,20120210,1
31,20120213,1
31,20120214,1
31,20120215,1
31,20120216,1
31,20120217,1
31,20120221,1
31,20120222,1
31,20120223,1
31,20120224,1
31,20120227,1
31,20120228,1
31,20120229,1
31,20120301,1
31,20120302,1
31,20120305,1
31,20120306,1
31,20120307,1
31,20120308,1
31,20120309,1
31,20120312,1
31,20120313,1
31,20120314,1
31,20120315,1
31,20120316,1
31,20120319,1
31,20120320,1
31,20120321,1
31,20120322,1
31,20120323,1
31,20120326,1
31,20120327,1
31,20120328,1
31,20120329,1
31,20120330,1
31,20120402,1
31,20120403,1
31,20120404,1
31,20120405,1
31,20120406,1
31,20120409,1
31,20120410,1
31,20120411,1
31,20120412,1
31,20120413,1
31,20120416,1
31,20120417,1
31,20120418,1
31,20120419,1
31,20120420,1
32,20111107,1
32,20111108,1
32,20111109,1
32,20111110,1
32,20111111,1
32,20111114,1
32,20111115,1
32,20111116,1
32,20111117,1
32,20111118,1
32,20111121,1
32,20111122,1
32,20111125,1
32,20111128,1
32,20111129,1
32,20111130,1
32,20111201,1
32,20111202,1
32,20111205,1
32,20111206,1
32,20111207,1
32,20111208,1
32,20111209,1
32,20111212,1
32,20111213,1
32,20111214,1
32,20111215,1
32,20111216,1
32,20111219,1
32,20111220,1
32,20111221,1
32,20111222,1
32,20111227,1
32,20111228,1
32,20111229,1
32,20111230,1
32,20120103,1
32,20120104,1
32,20120105,1
32,20120106,1
32,20120109,1
32,20120110,1
32,20120111,1
32,20120112,1
32,20120113,1
32,20120117,1
32,20120118,1
32,20120119,1
32,20120120,1
32,20120123,1
32,20120124,1
32,20120125,1
32,20120126,1
32,20120127,1
32,20120130,1
32,20120131,1
32,20120201,1
32,20120202,1
32,20120203,1
32,20120206,1
32,20120207,1
32,20120208,1
32,20120209,1
32,20120210,1
32,20120213,1
32,20120214,1
32,20120215,1
32,20120216,1
32,20120217,1
32,20120221,1
32,20120222,1
32,20120223,1
32,20120224,1
32,20120227,1
32,20120228,1
32,20120229,1
32,20120301,1
32,20120302,1
32,20120305,1
32,20120306,1
32,20120307,1
32,20120308,1
32,20120309,1
32,20120312,1
32,20120313,1
32,20120314,1
32,20120315,1
32,20120316,1
32,20120319,1
32,20120320,1
32,20120321,1
32,20120322,1
32,20120323,1
32,20120326,1
32,20120327,1
32,20120328,1
32,20120329,1
32,20120330,1
32,20120402,1
32,20120403,1
32,20120404,1
32,20120405,1
32,20120406,1
32,20120409,1
32,20120410,1
32,20120411,1
32,20120412,1
32,20120413,1
32,20120416,1
32,20120417,1
32,20120418,1
32,20120419,1
32,20120420,1
33,20120304,1
34,20111124,1
34,20120304,1
35,20111112,1
35,20111119,1
35,20111126,1
35,20111203,1
35,20111210,1
35,20111217,1
35,20111224,1
35,20111225,1
35,20111231,1
35,20120101,1
35,20120107,1
35,20120114,1
35,20120115,1
35,20120121,1
35,20120128,1
35,20120204,1
35,20120211,1
35,20120218,1
35,20120219,1
35,20120225,1
35,20120303,1
35,20120310,1
35,20120317,1
35,20120324,1
35,20120331,1
35,20120407,1
35,20120414,1
35,20120421,1
36,20111106,1
36,20111113,1
36,20111120,1
36,20111127,1
36,20111204,1
36,20111211,1
36,20111218,1
36,20111226,1
36,20120102,1
36,20120108,1
36,20120116,1
36,20120122,1
36,20120129,1
36,20120205,1
36,20120212,1
36,20120220,1
36,20120226,1
36,20120304,1
36,20120311,1
36,20120318,1
36,20120325,1
36,20120401,1
36,20120408,1
36,20120415,1
36,20120422,1
37,20111026,1
37,20111027,1
37,20111028,1
37,20111031,1
37,20111101,1
37,20111102,1
37,20111107,1
37,20111108,1
37,20111109,1
37,20111110,1
37,20111111,1
37,20111114,1
37,20111115,1
37,20111116,1
37,20111117,1
37,20111118,1
37,20111121,1
37,20111122,1
37,20111123,1
37,20111128,1
37,20111129,1
37,20111130,1
37,20111201,1
37,20111202,1
37,20111205,1
37,20111206,1
37,20111207,1
37,20111208,1
37,20111209,1
37,20111212,1
37,20111213,1
37,20111214,1
37,20111215,1
37,20111216,1
37,20111219,1
37,20111220,1
37,20111221,1
37,20111222,1
37,20111223,1
37,20111226,1
37,20111227,1
37,20111228,1
37,20111229,1
37,20111230,1
37,20120102,1
37,20120103,1
37,20120104,1
37,20120105,1
37,20120106,1
37,20120109,1
37,20120110,1
37,20120111,1
37,20120112,1
37,20120113,1
37,20120116,1
37,20120117,1
37,20120118,1
37,20120119,1
37,20120120,1
37,20120123,1
37,20120124,1
37,20120125,1
37,20120126,1
37,20120127,1
37,20120130,1
37,20120131,1
37,20120201,1
37,20120202,1
37,20120203,1
37,20120206,1
37,20120207,1
37,20120208,1
37,20120209,1
37,20120210,1
37,20120213,1
37,20120214,1
37,20120215,1
37,20120216,1
37,20120217,1
37,20120220,1
37,20120221,1
37,20120222,1
37,20120223,1
37,20120224,1
37,20120227,1
37,20120228,1
37,20120229,1
37,20120301,1
37,20120302,1
37,20120305,1
37,20120306,1
37,20120307,1
37,20120308,1
37,20120309,1
37,20120312,1
37,20120313,1
37,20120314,1
37,20120315,1
37,20120316,1
37,20120319,1
37,20120320,1
37,20120321,1
37,20120322,1
37,20120323,1
37,20120326,1
37,20120327,1
37,20120328,1
37,20120329,1
37,20120330,1
37,20120402,1
37,20120403,1
37,20120404,1
37,20120405,1
37,20120406,1
37,20120409,1
37,20120410,1
37,20120411,1
37,20120412,1
37,20120413,1
37,20120416,1
37,20120417,1
37,20120418,1
37,20120419,1
37,20120420,1
38,20111103,1
38,20111104,1
39,20111112,1
39,20111113,1
39,20111119,1
39,20111120,1
39,20111124,1
39,20111126,1
39,20111127,1
39,20111203,1
39,20111204,1
39,20111210,1
39,20111211,1
39,20111217,1
39,20111218,1
39,20111224,1
39,20111225,1
39,20111226,1
39,20111231,1
39,20120101,1
39,20120102,1
39,20120107,1
39,20120108,1
39,20120114,1
39,20120115,1
39,20120116,1
39,20120121,1
39,20120122,1
39,20120128,1
39,20120129,1
39,20120204,1
39,20120205,1
39,20120211,1
39,20120212,1
39,20120218,1
39,20120219,1
39,20120220,1
39,20120225,1
39,20120226,1
39,20120303,1
39,20120304,1
39,20120310,1
39,20120311,1
39,20120317,1
39,20120318,1
39,20120324,1
39,20120325,1
39,20120331,1
39,20120401,1
39,20120407,1
39,20120408,1
39,20120414,1
39,20120415,1
39,20120421,1
39,20120422,1
40,20111029,1
40,20111105,1
40,20111112,1
40,20111119,1
40,20111126,1
40,20111203,1
40,20111210,1
40,20111217,1
40,20111224,1
40,20111231,1
40,20120107,1
40,20120114,1
40,20120121,1
40,20120128,1
40,20120204,1
40,20120211,1
40,20120218,1
40,20120225,1
40,20120303,1
40,20120310,1
40,20120317,1
40,20120324,1
40,20120331,1
40,20120407,1
40,20120414,1
40,20120421,1
41,20111030,1
41,20111106,1
41,20111113,1
41,20111120,1
41,20111127,1
41,20111204,1
41,20111211,1
41,20111218,1
41,20111225,1
41,20120101,1
41,20120108,1
41,20120115,1
41,20120122,1
41,20120129,1
41,20120205,1
41,20120212,1
41,20120219,1
41,20120226,1
41,20120304,1
41,20120311,1
41,20120318,1
41,20120325,1
41,20120401,1
41,20120408,1
41,20120415,1
41,20120422,1
42,20111026,1
42,20111027,1
42,20111028,1
42,20111031,1
42,20111101,1
42,20111102,1
42,20111103,1
42,20111104,1
42,20111107,1
42,20111108,1
42,20111109,1
42,20111110,1
42,20111111,1
42,20111114,1
42,20111115,1
42,20111116,1
42,20111117,1
42,20111118,1
42,20111121,1
42,20111122,1
42,20111123,1
42,20111124,1
42,20111125,1
42,20111128,1
42,20111129,1
42,20111130,1
43,20111201,1
43,20111202,1
43,20111205,1
43,20111206,1
43,20111207,1
43,20111208,1
43,20111209,1
43,20111212,1
43,20111213,1
43,20111214,1
43,20111215,1
43,20111216,1
43,20111219,1
43,20111220,1
43,20111221,1
43,20111222,1
43,20111223,1
43,20111226,1
43,20111227,1
43,20111228,1
43,20111229,1
43,20111230,1
43,20120102,1
43,20120103,1
43,20120104,1
43,20120105,1
43,20120106,1
43,20120109,1
43,20120110,1
43,20120111,1
43,20120112,1
43,20120113,1
43,20120116,1
43,20120117,1
43,20120118,1
43,20120119,1
43,20120120,1
43,20120123,1
43,20120124,1
43,20120125,1
43,20120126,1
43,20120127,1
43,20120130,1
43,20120131,1
43,20120201,1
43,20120202,1
43,20120203,1
43,20120206,1
43,20120207,1
43,20120208,1
43,20120209,1
43,20120210,1
43,20120213,1
43,20120214,1
43,20120215,1
43,20120216,1
43,20120217,1
43,20120220,1
43,20120221,1
43,20120222,1
43,20120223,1
43,20120224,1
43,20120227,1
43,20120228,1
43,20120229,1
43,20120301,1
43,20120302,1
43,20120305,1
43,20120306,1
43,20120307,1
43,20120308,1
43,20120309,1
43,20120312,1
43,20120313,1
43,20120314,1
43,20120315,1
43,20120316,1
43,20120319,1
43,20120320,1
43,20120321,1
43,20120322,1
43,20120323,1
43,20120326,1
43,20120327,1
43,20120328,1
43,20120329,1
43,20120330,1
43,20120402,1
43,20120403,1
43,20120404,1
43,20120405,1
43,20120406,1
43,20120409,1
43,20120410,1
43,20120411,1
43,20120412,1
43,20120413,1
43,20120416,1
43,20120417,1
43,20120418,1
43,20120419,1
43,20120420,1
44,20111204,1
45,20111127,1
45,20111211,1
45,20111218,1
45,20111224,1
45,20120101,1
46,20111127,1
46,20111204,1
46,20111211,1
46,20111218,1
46,20111224,1
46,20120101,1
47,20111113,1
47,20111120,1
48,20111113,1
48,20111120,1
48,20111204,1
49,20111113,1
49,20111120,1
49,20111127,1
49,20111204,1
49,20111211,1
49,20111218,1
49,20111224,1
49,20120101,1
