trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
17,08:53:00,08:53:00,10,1,0,0,0.0000
17,09:02:00,09:02:00,2,2,0,0,5.3294
17,09:13:00,09:13:00,39,3,0,0,15.8562
17,09:24:00,09:24:00,55,4,0,0,26.7282
17,09:37:00,09:37:00,9,5,0,0,38.6989
17,09:45:00,09:45:00,71,6,0,0,44.7223
17,09:55:00,09:55:00,28,7,0,0,51.6182
17,10:25:00,10:25:00,1,8,0,0,59.3167
18,10:55:00,10:55:00,10,1,0,0,0.0000
18,11:04:00,11:04:00,2,2,0,0,5.3294
18,11:15:00,11:15:00,39,3,0,0,15.8562
18,11:30:00,11:30:00,55,4,0,0,26.7282
18,11:43:00,11:43:00,9,5,0,0,38.6989
18,11:50:00,11:50:00,71,6,0,0,44.7223
18,12:01:00,12:01:00,28,7,0,0,51.6182
18,12:31:00,12:31:00,1,8,0,0,59.3167
19,12:40:00,12:40:00,10,1,0,0,0.0000
19,12:49:00,12:49:00,2,2,0,0,5.3294
19,12:59:00,12:59:00,39,3,0,0,15.8562
19,13:10:00,13:10:00,55,4,0,0,26.7282
19,13:23:00,13:23:00,9,5,0,0,38.6989
19,13:31:00,13:31:00,71,6,0,0,44.7223
19,13:41:00,13:41:00,28,7,0,0,51.6182
19,14:11:00,14:11:00,1,8,0,0,59.3167
20,14:46:00,14:46:00,10,1,0,0,0.0000
20,14:55:00,14:55:00,2,2,0,0,5.3294
20,15:06:00,15:06:00,39,3,0,0,15.8562
20,15:17:00,15:17:00,55,4,0,0,26.7282
20,15:34:00,15:34:00,9,5,0,0,38.6989
20,15:41:00,15:41:00,71,6,0,0,44.7223
20,15:51:00,15:51:00,28,7,0,0,51.6182
20,16:21:00,16:21:00,1,8,0,0,59.3167
21,15:41:00,15:41:00,10,1,0,0,0.0000
21,15:50:00,15:50:00,2,2,0,0,5.3294
21,16:01:00,16:01:00,39,3,0,0,15.8562
21,16:12:00,16:12:00,55,4,0,0,26.7282
21,16:25:00,16:25:00,9,5,0,0,38.6989
21,16:32:00,16:32:00,71,6,0,0,44.7223
21,16:43:00,16:43:00,28,7,0,0,51.6182
21,17:13:00,17:13:00,1,8,0,0,59.3167
22,16:42:00,16:42:00,10,1,0,0,0.0000
22,16:51:00,16:51:00,2,2,0,0,5.3294
22,17:02:00,17:02:00,39,3,0,0,15.8562
22,17:13:00,17:13:00,55,4,0,0,26.7282
22,17:26:00,17:26:00,9,5,0,0,38.6989
